date;name;value;unit;v_code
02/01/2025;Сомони;89.5358;10;R01670
02/04/2025;Сомони;91.4796;10;R01670
02/05/2025;Сомони;90.0566;10;R01670
02/06/2025;Сомони;89.6238;10;R01670
02/07/2025;Сомони;88.5455;10;R01670
02/08/2025;Сомони;88.8992;10;R01670
01/30/2025;Бат;29.0494;10;R01675
01/31/2025;Бат;29.0268;10;R01675
02/01/2025;Бат;29.0653;10;R01675
02/04/2025;Бат;29.3364;10;R01675
02/05/2025;Бат;29.0660;10;R01675
02/06/2025;Бат;29.1113;10;R01675
02/07/2025;Бат;28.7875;10;R01675
02/08/2025;Бат;28.8731;10;R01675
01/30/2025;Турецкая лира;27.4315;10;R01700J
01/31/2025;Турецкая лира;27.4229;10;R01700J
02/01/2025;Турецкая лира;27.3572;10;R01700J
02/04/2025;Турецкая лира;27.9209;10;R01700J
02/05/2025;Турецкая лира;27.4203;10;R01700J
02/06/2025;Турецкая лира;27.2765;10;R01700J
02/07/2025;Турецкая лира;26.9941;10;R01700J
02/08/2025;Турецкая лира;27.1225;10;R01700J
01/30/2025;Туркменский манат;28.0036;1;R01710
01/31/2025;Туркменский манат;28.0018;1;R01710
02/01/2025;Туркменский манат;27.9459;1;R01710
02/04/2025;Туркменский манат;28.5552;1;R01710
02/05/2025;Туркменский манат;28.1525;1;R01710
02/06/2025;Туркменский манат;28.0159;1;R01710
02/07/2025;Туркменский манат;27.6887;1;R01710
02/08/2025;Туркменский манат;27.7932;1;R01710
01/30/2025;Новый туркменский манат;28.0036;1;R01710A
01/31/2025;Новый туркменский манат;28.0018;1;R01710A
02/01/2025;Новый туркменский манат;27.9459;1;R01710A
02/04/2025;Новый туркменский манат;28.5552;1;R01710A
02/05/2025;Новый туркменский манат;28.1525;1;R01710A
02/06/2025;Новый туркменский манат;28.0159;1;R01710A
02/07/2025;Новый туркменский манат;27.6887;1;R01710A
02/08/2025;Новый туркменский манат;27.7932;1;R01710A
01/30/2025;Узбекский сум;75.5397;10000;R01717
01/31/2025;Узбекский сум;75.5734;10000;R01717
02/01/2025;Узбекский сум;75.4886;10000;R01717
02/04/2025;Узбекский сум;77.0273;10000;R01717
02/05/2025;Узбекский сум;75.8826;10000;R01717
02/06/2025;Узбекский сум;75.4337;10000;R01717
02/07/2025;Узбекский сум;74.6307;10000;R01717
02/08/2025;Узбекский сум;75.0019;10000;R01717
01/30/2025;Гривна;23.3255;10;R01720
01/31/2025;Гривна;23.3741;10;R01720
02/01/2025;Гривна;23.3861;10;R01720
02/04/2025;Гривна;23.9521;10;R01720
02/05/2025;Гривна;23.5778;10;R01720
02/06/2025;Гривна;23.4831;10;R01720
02/07/2025;Гривна;23.2631;10;R01720
02/08/2025;Гривна;23.4459;10;R01720
01/30/2025;Чешская крона;40.7232;10;R01760
01/31/2025;Чешская крона;40.5403;10;R01760
02/01/2025;Чешская крона;40.5181;10;R01760
